usuario,location,latitud,longitud
FdoToaquizaV,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
alejodavid_,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
Lucho1267,"Cuenca, Azuay, Ecuador",-2.90055,-79.00453
Raimyeventos,"Loja, Ecuador",-3.99313,-79.20422
Victorijose58,Ecuador,-1.25,-78.25
Marisola32,"Loja, Ecuador",-3.99313,-79.20422
LuceroTenencia,"Calvas, Loja, Ecuador",-4.31667,-79.56667
FernandoAcaro1,"Cariamanga, Loja, Ecuador",-4.32796,-79.55554
PachakutikLoja,"Loja, Ecuador",-3.99313,-79.20422
cesarulloa_77,Ecuador,-1.25,-78.25
anicris22,"Loja, Ecuador",-3.99313,-79.20422
sumauarmi,Ecuador,-1.25,-78.25
miguel_antonio8,"Salinas, Santa Elena, Ecuador",-2.21452,-80.95151
tpcruzpamba,"Cruzpamba, Celica, Loja, Ecuador",-4.15578,-80.00607
ithanjav,Ecuador,-1.25,-78.25
tahisita19,"Calvas, Loja, Ecuador",-4.31667,-79.56667
kajen70,"Loja, Ecuador",-3.99313,-79.20422
reinavera291,"Orellana, Ecuador",-0.75,-76.41667
capitan18_,Ecuador,-1.25,-78.25
xacitoerreyes,"Loja, Ecuador",-3.99313,-79.20422
JUANCARLOSRIOSE,Ecuador,-1.25,-78.25
Milton45389980,Estados Unidos,-14.60485,-57.65625
isamaldonadoj,"Loja, Ecuador",-3.99313,-79.20422
LConumba,"El Chaco, Ecuador",-0.33822,-77.81018
LuisAlmeidaM,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
tokyguerrero,"Loja, Ecuador",-3.99313,-79.20422
MPatriciaRomero,"Loja, Ecuador",-3.99313,-79.20422
GracielaCV19,"Portoviejo, Manabí, Ecuador",-1.05458,-80.45445
Briceno15bella,"Loja, Ecuador",-3.99313,-79.20422
BMGA90,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
IEPS_Ec,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
EFRAINAZ,"Loja, Ecuador",-3.99313,-79.20422
chin0bustamante,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
MenaChino,"Tena, Napo, Ecuador",-0.9938,-77.81286
aristizabaljona,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
RantiChiqa,"Loja, Ecuador",-3.99313,-79.20422
jgabrielperalta,"Loja, Ecuador",-3.99313,-79.20422
Claudiamishel10,"Loja, Ecuador",-3.99313,-79.20422
tenenciasalati,"Salatí, Portovelo, El Oro, Ecuador",-3.76562,-79.49493
armandochili,Ecuador,-1.25,-78.25
pauli_mogrovejo,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
Manuva2404,"Loja, Ecuador",-3.99313,-79.20422
cabral_osvaldo,"Ambato, Tungurahua, Ecuador",-1.24908,-78.61675
MarcFalcon_,Ecuador,-1.25,-78.25
luchoBSC22,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
gloria62andrade,"Manta, Manabí, Ecuador",-0.96212,-80.71271
JomyPalad,"Esmeraldas, Ecuador",0.9592,-79.65397
SerieB2018Ec,Ecuador,-1.25,-78.25
Jose_CastanedaR,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
Angelerazo1987,"Montalvo, Los Ríos, Ecuador",-1.80295,-79.31703
ValeryAnaliaBsc,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
MAYRAAARIASJ2,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
chris90BSC,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
jorgechristianx,"Loja, Ecuador",-3.99313,-79.20422
djaneht23,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
NACHOCAS1234,"Loja, Ecuador",-3.99313,-79.20422
ll_lcda,"Caracas, Venezuela",10.48801,-66.87919
PreAso_Electrom,"Loja, Ecuador",-3.99313,-79.20422
JuanPablo_Farez,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
arturogarciav,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
AKBravesFan98,"Alaska, Estados Unidos",64.00028,-150.00028
Efilu,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
multicanal1,"Catamayo, Loja, Ecuador",-4,-79.36667
LeonardUlloa,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
SegurosSucreEC,Ecuador,-1.25,-78.25
AntiMonopolioZ3,"Riobamba, Chimborazo, Ecuador",-1.67098,-78.64712
jorgeeduar1993,"Loja, Ecuador",-3.99313,-79.20422
AntiMonopolioZ7,"Loja, Ecuador",-3.99313,-79.20422
COSMODEPORTIVO,Ecuador,-1.25,-78.25
brarlydouglas,"Quevedo, Los Ríos, Ecuador",-1.02863,-79.46352
bachotelli_,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
BSCMonumental_,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
RocoGranda1,"Loja, Ecuador",-3.99313,-79.20422
vicentico03,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
chunkai_tan,"Selangor, Malasia",3.03333,101.45
vanaluisa,"Loja, Ecuador",-3.99313,-79.20422
betoriver90,Ecuador,-1.25,-78.25
darkvader2015,"Amsterdam, Holanda",52.37403,4.88969
dario_zun,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
jaimerycardo,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
richarjaramillo,"Loja, Ecuador",-3.99313,-79.20422
aopaz06,"Loja, Ecuador",-3.99313,-79.20422
MayitoMora,Ecuador,-1.25,-78.25
ChampionAV25,"Manta, Manabí, Ecuador",-0.96212,-80.71271
apenafieli,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
david_izurieta,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
fxjv,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
barcejulio8,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
SuarezMiguel28,Ecuador,-1.25,-78.25
15Jfco,"Manabí, Ecuador",-0.96212,-80.71271
CarlosBailonS,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
juanja1982,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
euvicasant,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
Yurlay31,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
3000stefJoha,"Quito, Pichincha, Ecuador",-0.22985,-78.52495
aquilesalvarez,"Guayaquil, Guayas, Ecuador",-2.19616,-79.88621
